CustomerID,Age,Gender,Income,Location,DeviceType,PreferredCategory,PastClicks,PastPurchases,CustomerLifetimeValue,OpenRate,ClickThroughRate,PreviousResponse,Channel,CampaignType,CampaignText,DayOfWeek,TimeOfDay,Response
1,56,Male,82461,Rural,Mobile,Fashion,14,0,4299.93,0.78,0.93,2,Push,Discount,Summer collection now available,Thu,Afternoon,1
2,46,Male,22665,Rural,Mobile,Fashion,18,4,4322.29,0.22,0.57,4,Email,New Product Launch,Trending now: Shop the latest collection,Mon,Morning,1
3,32,Female,47025,Rural,Mobile,Electronics,8,4,4946.99,0.21,0.74,3,Push,Flash Sale,Exclusive deal: Free shipping now,Fri,Evening,1
4,60,Female,43533,Suburban,Desktop,Electronics,16,5,1283.72,0.61,0.8,3,Social,Discount,Your loyalty reward: 15% extra off,Wed,Morning,1
5,25,Female,65897,Rural,Mobile,Electronics,14,7,268.84,0.44,0.11,1,SMS,Flash Sale,Don’t miss out on this deal,Mon,Morning,1
6,38,Female,140486,Rural,Desktop,Fashion,1,3,2182.04,0.87,0.84,2,Web Ads,Loyalty Reward,Special discount just for you,Fri,Morning,1
7,56,Male,97661,Urban,Tablet,Travel,3,6,4493.52,0.29,0.01,2,Push,Discount,Hurry! Flash sale ends tonight,Sun,Evening,1
8,36,Female,140473,Suburban,Desktop,Travel,6,3,3041.23,0.33,0.0,2,Web Ads,Discount,Exclusive deal: Free shipping now,Wed,Morning,1
9,40,Male,145766,Rural,Mobile,Health & Beauty,7,1,1930.27,0.17,0.31,0,Push,Loyalty Reward,Trending now: Shop the latest collection,Sun,Morning,0
10,28,Male,40998,Urban,Tablet,Groceries,0,7,3883.4,0.98,0.79,2,Email,New Product Launch,Exclusive deal: Free shipping now,Wed,Evening,1
11,28,Female,138980,Rural,Mobile,Fashion,0,4,3590.49,0.12,0.92,0,Web Ads,Loyalty Reward,Reward points doubled for this week only,Mon,Evening,1
12,41,Male,81248,Rural,Tablet,Electronics,4,9,3596.47,0.98,0.4,4,Social,Loyalty Reward,Don’t miss out on this deal,Sat,Afternoon,1
13,53,Male,124493,Rural,Mobile,Groceries,7,3,2621.46,0.71,0.63,0,Web Ads,Flash Sale,Your loyalty reward: 15% extra off,Wed,Evening,1
14,57,Male,43057,Rural,Desktop,Electronics,0,1,2699.36,0.09,0.47,0,Push,Discount,New arrivals in your favorite style,Fri,Evening,0
15,41,Male,99244,Rural,Mobile,Groceries,2,6,2823.53,0.15,0.28,3,Social,Loyalty Reward,Your loyalty reward: 15% extra off,Thu,Afternoon,1
16,20,Female,103608,Urban,Desktop,Groceries,16,4,2807.86,0.33,0.87,1,Email,Discount,Hurry! Flash sale ends tonight,Tue,Morning,1
17,39,Female,90631,Rural,Desktop,Travel,2,8,1110.95,0.26,0.59,3,Web Ads,Flash Sale,Your loyalty reward: 15% extra off,Mon,Morning,0
18,19,Male,117031,Urban,Tablet,Health & Beauty,0,6,1304.35,0.97,0.69,2,Social,Discount,Your loyalty reward: 15% extra off,Sat,Evening,1
19,41,Female,132713,Rural,Desktop,Health & Beauty,3,8,1932.72,0.61,0.62,3,Web Ads,Loyalty Reward,Special discount just for you,Wed,Afternoon,1
20,61,Male,125887,Urban,Desktop,Electronics,8,9,4291.79,0.07,0.08,1,Email,Flash Sale,Hurry! Flash sale ends tonight,Thu,Morning,1
